Tata,D/N,Config,Test time,Line,Fixture,SN,Failure Mode,Failure Description,Retest,NTF,Fail,SOF,OFFLINE
2020-08-05,D,G950-04226-02,2020-08-05T10:30:43Z,M39,LED-M3901,WIP0804105APALKG3,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:36:22Z,M39,LED-M3901,WIP0804105APALKET,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:37:39Z,N19,LED-N1905,WIP0804105APALXCF,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:41:55Z,M39,LED-M3905,WIP0804105APALYWH,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:49:47Z,M39,LED-M3901,WIP0804105APALYYW,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:50:10Z,N29,LED-N2901,WIP0804105APALV9G,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:51:30Z,M29,LED-M2903,WIP0804105APALUWN,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:51:22Z,N29,LED-N2905,WIP0804105APALV99,"leakage_current_and_temp_status
","leakage_current_and_temp_status  error
",1,0,0,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T10:56:14Z,N29,LED-N2901,WIP0804105APALV86,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:57:13Z,N29,LED-N2901,WIP0804105APALV84,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:58:30Z,M29,LED-M2903,WIP0804105APALUV0,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:59:25Z,N29,LED-N2904,WIP0804105APALV82,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T10:59:36Z,N19,LED-N1905,WIP0804105APALX5D,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:04:15Z,N29,LED-N2901,WIP0804105APALV8E,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:04:55Z,N29,LED-N2901,WIP0804105APALV6L,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:04:15Z,N29,LED-N2901,WIP0804105APALV8E,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:05:49Z,M39,LED-M3901,WIP0804105APALK9K,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:04:55Z,N29,LED-N2901,WIP0804105APALV6L,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:13:22Z,M39,LED-M3905,WIP0804105APALK8W,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:14:01Z,N19,LED-N1905,WIP0804105APALX2J,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:14:04Z,M39,LED-M3901,WIP0804105APALK8G,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:14:01Z,N19,LED-N1905,WIP0804105APALX2J,device offline,device offline YES,0,0,0,0,1,
2020-08-04,D,G950-04226-02,2020-08-04T13:54:24Z,M39,LED-M3903,WIP0803105APAL21J,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:16:14Z,M39,LED-M3905,WIP0804105APALK7W,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:17:37Z,M39,LED-M3901,WIP0804105APALK7U,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:18:19Z,M39,LED-M3905,WIP0804105APALKEN,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:18:49Z,M39,LED-M3905,WIP0804105APALKEM,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:19:25Z,M39,LED-M3905,WIP0804105APAM060,device offline,device offline YES,0,0,0,0,1,
2020-08-04,D,G950-04226-02,2020-08-04T13:54:24Z,M39,LED-M3903,WIP0803105APAL21J,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:20:12Z,N19,LED-N1901,WIP0804105APALX1B,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:16:14Z,M39,LED-M3905,WIP0804105APALK7W,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:22:22Z,N39,LED-N3903,WIP0804105APALV4T,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:26:14Z,N39,LED-N3901,WIP0804105APAM71B,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:33:52Z,M29,LED-M2902,WIP0804105APALULW,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:33:52Z,M29,LED-M2902,WIP0804105APALULW,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:15:54Z,N19,LED-N1905,WIP0804105APALX2F,"Frame_Check_Step3_Side_LED2-5-B_B
Frame_Check_Step3_Side_LED2-2-B_B
Frame_Check_Step3_Side_LED2-4-B_B
Frame_Check_Step3_Side_LED2-1-B_B
Frame_Check_Step3_Side_LED2-3-B_B
","Frame_Check_Step3_Side_LED2-5-B_B  14.4
Frame_Check_Step3_Side_LED2-2-B_B  14.826666666666666
Frame_Check_Step3_Side_LED2-4-B_B  14.72
Frame_Check_Step3_Side_LED2-1-B_B  14.693333333333333
Frame_Check_Step3_Side_LED2-3-B_B  14.28
",1,0,0,0,0,
2020-08-05,D,G950-04226-02,2020-08-05T10:59:36Z,N19,LED-N1905,WIP0804105APALX5D,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:16:14Z,M39,LED-M3905,WIP0804105APALK7W,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:50:03Z,M39,LED-M3901,WIP0804105APALYP5,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:52:22Z,M39,LED-M3905,WIP0804105APALKE8,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:54:24Z,M39,LED-M3905,WIP0804105APALKF8,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:54:37Z,M39,LED-M3901,WIP0804105APALYNV,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:55:20Z,M39,LED-M3901,WIP0804105APALYTG,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:56:20Z,M39,LED-M3905,WIP0804105APALKC1,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:54:37Z,M39,LED-M3901,WIP0804105APALYNV,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:20:12Z,N19,LED-N1901,WIP0804105APALX1B,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T12:02:04Z,M39,LED-M3905,WIP0804105APALK6H,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T12:03:00Z,N39,LED-N3903,WIP0804105APALV48,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:20:12Z,N19,LED-N1901,WIP0804105APALX1B,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T12:04:44Z,M39,LED-M3905,WIP0804105APALK5W,device offline,device offline YES,0,0,0,0,1,
2020-08-04,D,G950-04226-02,2020-08-04T13:54:24Z,M39,LED-M3903,WIP0803105APAL21J,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T11:20:12Z,N19,LED-N1901,WIP0804105APALX1B,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T12:06:48Z,M39,LED-M3902,WIP0804105APAM00Y,device offline,device offline YES,0,0,0,0,1,
2020-08-04,D,G950-04226-02,2020-08-04T13:54:24Z,M39,LED-M3903,WIP0803105APAL21J,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T12:08:44Z,M39,LED-M3901,WIP0804105APALYRB,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T12:02:04Z,M39,LED-M3905,WIP0804105APALK6H,device offline,device offline YES,0,0,0,0,1,
2020-08-04,D,G950-04226-02,2020-08-04T13:54:24Z,M39,LED-M3903,WIP0803105APAL21J,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T12:11:16Z,N39,LED-N3903,WIP0804105APALV2Y,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T12:11:48Z,N39,LED-N3903,WIP0804105APALV29,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T12:11:16Z,N39,LED-N3903,WIP0804105APALV2Y,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T12:13:38Z,N39,LED-N3903,WIP0804105APAM6YG,device offline,device offline YES,0,0,0,0,1,
2020-08-04,D,G950-04226-02,2020-08-04T13:54:24Z,M39,LED-M3903,WIP0803105APAL21J,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T12:11:16Z,N39,LED-N3903,WIP0804105APALV2Y,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T12:16:14Z,N19,LED-N1905,WIP0804105APALWX5,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T12:11:16Z,N39,LED-N3903,WIP0804105APALV2Y,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T12:17:48Z,N19,LED-N1901,WIP0804105APALWX1,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T12:19:58Z,N39,LED-N3903,WIP0804105APALV2H,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T12:23:20Z,M29,LED-M2905,WIP0804105APALUKK,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T12:11:16Z,N39,LED-N3903,WIP0804105APALV2Y,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T12:27:01Z,N19,LED-N1901,WIP0804105APALWV9,device offline,device offline YES,0,0,0,0,1,
2020-08-05,D,G950-04226-02,2020-08-05T12:27:21Z,M29,LED-M2905,WIP0804105APALUJM,device offline,device offline YES,0,0,0,0,1,
