Tata,D/N,Config,Test time,Line,Fixture,SN,Failure Mode,Failure Description,Retest,NTF,Fail,SOF,OFFLINE
2020-08-05,D,GA00781-ES,2020-08-05T09:16:01Z,L29,PROVISION-L2901,WIP0803105APAKN8E,"check_led_file
push_hwtxt
led_cal
check_mode
sku_otp
set_locale
set_anim
sku_fdv
sku_fsi
check_sounds_file
store_wifi_txpower
boot_mode
","check_led_file  None
push_hwtxt  None
led_cal  None
check_mode  None
sku_otp  None
set_locale  FAIL
set_anim  None
sku_fdv  None
sku_fsi  None
check_sounds_file  None
store_wifi_txpower  None
boot_mode  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:13:04Z,L29,PROVISION-L2902,WIP0803105APAKN5M,"wifi_check
","wifi_check  Timeout
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:31:17Z,L29,PROVISION-L2906,WIP0803105APAL4GA,"wifi_check
","wifi_check  Timeout
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:39:04Z,L29,PROVISION-L2901,WIP0803105APAL3W7,"wifi_check
","wifi_check  Timeout
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T09:23:19Z,k49,PROVISION-k4902,WIP0801105APAKBJC,"flash_fsi
","flash_fsi  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:21:14Z,L29,PROVISION-L2908,WIP0803105APAKMVP,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:43:08Z,L29,PROVISION-L2908,WIP0803105APAL44D,"wifi_check
","wifi_check  Timeout
",0,1,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:22:27Z,L29,PROVISION-L2902,WIP0803105APAKMW5,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T09:24:47Z,K49,PROVISION-K4908,WIP0801105APAKCCG,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:37:49Z,L29,PROVISION-L2903,WIP0803105APAL3XG,"wifi_check
","wifi_check  Timeout
",0,1,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:20:06Z,L29,PROVISION-L2909,WIP0803105APAL349,"wifi_check
","wifi_check  Timeout
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T09:27:59Z,K49,PROVISION-K4904,WIP0801105APAKC3U,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:30:16Z,L29,PROVISION-L2908,WIP0803105APAKNGP,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:29:09Z,L29,PROVISION-L2901,WIP0803105APAKNGA,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:29:11Z,L29,PROVISION-L2901,WIP0803105APAKNGG,"check_led_file
push_hwtxt
led_cal
check_mode
sku_otp
set_locale
set_anim
sku_fdv
sku_fsi
check_sounds_file
store_wifi_txpower
boot_mode
","check_led_file  None
push_hwtxt  None
led_cal  None
check_mode  None
sku_otp  None
set_locale  FAIL
set_anim  None
sku_fdv  None
sku_fsi  None
check_sounds_file  None
store_wifi_txpower  None
boot_mode  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:31:05Z,L29,PROVISION-L2903,WIP0803105APAKNGX,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:31:05Z,L29,PROVISION-L2903,WIP0803105APAKNGL,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:33:15Z,L29,PROVISION-L2907,WIP0803105APAKNJ2,"check_led_file
push_hwtxt
led_cal
check_mode
sku_otp
set_locale
set_anim
sku_fdv
sku_fsi
check_sounds_file
store_wifi_txpower
boot_mode
","check_led_file  None
push_hwtxt  None
led_cal  None
check_mode  None
sku_otp  None
set_locale  FAIL
set_anim  None
sku_fdv  None
sku_fsi  None
check_sounds_file  None
store_wifi_txpower  None
boot_mode  None
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T09:35:18Z,K49,PROVISION-K4906,WIP0801105APAKCEH,"sku_speaker
sku_id
check_led_file
check_sounds_file
sku_otp
set_anim
sku_mlbsn
store_wifi_txpower
boot_mode
mlbsn
push_hwtxt
led_cal
fct_version
sku_color
sku_lang
sku_country
sku_build
sku_fdv
check_mode
sku_fsi
check_mlbsn
check_fct
get_mlbsn
get_sku
set_locale
sku_spk_pn
set_color
","sku_speaker  None
sku_id  None
check_led_file  None
check_sounds_file  None
sku_otp  None
set_anim  None
sku_mlbsn  None
store_wifi_txpower  None
boot_mode  None
mlbsn  None
push_hwtxt  None
led_cal  None
fct_version  None
sku_color  None
sku_lang  None
sku_country  None
sku_build  None
sku_fdv  None
check_mode  None
sku_fsi  None
check_mlbsn  None
check_fct  None
get_mlbsn  FAIL
get_sku  None
set_locale  None
sku_spk_pn  None
set_color  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:14:20Z,L29,PROVISION-L2906,WIP0803105APAKN7J,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:58:33Z,L29,PROVISION-L2906,WIP0803105APAKMJT,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:56:40Z,L29,PROVISION-L2905,WIP0803105APAL7K3,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T09:42:37Z,K49,PROVISION-K4904,WIP0801105APAKB8J,"push_key
cat_macaddr
BSSID_MAC
WLMAC
set_serial
BTMAC
OTP
","push_key  None
cat_macaddr  None
BSSID_MAC  None
WLMAC  None
set_serial  FAIL
BTMAC  None
OTP  None
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T09:45:07Z,K49,PROVISION-K4908,WIP0801105APAKB8X,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:46:31Z,L29,PROVISION-L2908,WIP0801105APAKCVN,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:46:45Z,L29,PROVISION-L2905,WIP0801105APAKCV3,"flash_fsi
","flash_fsi  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T09:40:38Z,K49,PROVISION-K4909,WIP0801105APAKBRB,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",0,1,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T09:46:55Z,k49,PROVISION-k4902,WIP0801105APAKC1C,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",0,1,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T08:20:17Z,K49,PROVISION-K4908,WIP0803105APAKMGH,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:02:11Z,L29,PROVISION-L2904,WIP0803105APAKNN9,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T10:03:37Z,K49,PROVISION-K4901,WIP0801105APAKB9W,"sku_speaker
sku_id
check_led_file
check_sounds_file
sku_otp
set_anim
sku_mlbsn
store_wifi_txpower
boot_mode
mlbsn
push_hwtxt
led_cal
fct_version
sku_color
sku_lang
sku_country
sku_build
sku_fdv
check_mode
sku_fsi
check_mlbsn
check_fct
get_mlbsn
get_sku
set_locale
sku_spk_pn
set_color
","sku_speaker  None
sku_id  None
check_led_file  None
check_sounds_file  None
sku_otp  None
set_anim  None
sku_mlbsn  None
store_wifi_txpower  None
boot_mode  None
mlbsn  None
push_hwtxt  None
led_cal  None
fct_version  None
sku_color  None
sku_lang  None
sku_country  None
sku_build  None
sku_fdv  None
check_mode  None
sku_fsi  None
check_mlbsn  None
check_fct  None
get_mlbsn  FAIL
get_sku  None
set_locale  None
sku_spk_pn  None
set_color  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T10:02:31Z,L29,PROVISION-L2901,WIP0801105APAKD60,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:30:30Z,L39,PROVISION-L3903,WIP0722105APAHLTD,"flash_fsi
","flash_fsi  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T09:43:14Z,k49,PROVISION-k4902,WIP0801105APAKB7Y,"wifi_check
","wifi_check  Timeout
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T09:27:24Z,k49,PROVISION-k4902,WIP0801105APAKC1Y,"wifi_check
","wifi_check  Timeout
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T10:08:35Z,K49,PROVISION-K4906,WIP0801105APAKBBW,"wifi_check
","wifi_check  Timeout
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T08:13:19Z,L39,PROVISION-L3904,WIP0803105APALFJP,"flash_fsi
","flash_fsi  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T10:16:04Z,L29,PROVISION-L2908,WIP0801105APAKD49,"flash_fsi
","flash_fsi  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T10:12:28Z,K49,PROVISION-K4906,WIP0801105APAKB5B,"wifi_check
","wifi_check  Timeout
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T10:13:01Z,K49,PROVISION-K4907,WIP0801105APAKB6H,"wifi_check
","wifi_check  Timeout
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T10:22:01Z,L29,PROVISION-L2906,WIP0801105APAKCLT,"set_anim
sku_fdv
sku_fsi
sku_otp
","set_anim  FAIL
sku_fdv  None
sku_fsi  None
sku_otp  None
",0,1,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T10:22:01Z,L29,PROVISION-L2906,WIP0801105APAKCKJ,"set_anim
sku_fdv
sku_fsi
sku_otp
","set_anim  FAIL
sku_fdv  None
sku_fsi  None
sku_otp  None
",0,1,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T10:22:01Z,L29,PROVISION-L2906,WIP0801105APAKCNU,"set_anim
sku_fdv
sku_fsi
sku_otp
","set_anim  FAIL
sku_fdv  None
sku_fsi  None
sku_otp  None
",0,1,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T10:22:01Z,L29,PROVISION-L2906,WIP0801105APAKCLJ,"set_anim
sku_fdv
sku_fsi
sku_otp
","set_anim  FAIL
sku_fdv  None
sku_fsi  None
sku_otp  None
",0,1,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T10:23:53Z,L29,PROVISION-L2902,WIP0801105APAKCMM,"check_led_file
push_hwtxt
led_cal
check_mode
sku_otp
set_locale
set_anim
sku_fdv
sku_fsi
check_sounds_file
store_wifi_txpower
boot_mode
","check_led_file  None
push_hwtxt  None
led_cal  None
check_mode  None
sku_otp  None
set_locale  FAIL
set_anim  None
sku_fdv  None
sku_fsi  None
check_sounds_file  None
store_wifi_txpower  None
boot_mode  None
",1,0,0,0,0,
2020-08-05,D,GA00781-GB,2020-08-05T10:28:21Z,K49,PROVISION-K4905,WIP0803105APALANF,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:20:43Z,L29,PROVISION-L2901,WIP0803105APAKMV0,"check_led_file
push_hwtxt
led_cal
check_mode
sku_otp
set_locale
set_anim
sku_fdv
sku_fsi
check_sounds_file
store_wifi_txpower
boot_mode
","check_led_file  None
push_hwtxt  None
led_cal  None
check_mode  None
sku_otp  None
set_locale  FAIL
set_anim  None
sku_fdv  None
sku_fsi  None
check_sounds_file  None
store_wifi_txpower  None
boot_mode  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:21:05Z,L29,PROVISION-L2905,WIP0803105APAKMVU,"check_led_file
push_hwtxt
led_cal
check_mode
sku_otp
set_locale
set_anim
sku_fdv
sku_fsi
check_sounds_file
store_wifi_txpower
boot_mode
","check_led_file  None
push_hwtxt  None
led_cal  None
check_mode  None
sku_otp  None
set_locale  FAIL
set_anim  None
sku_fdv  None
sku_fsi  None
check_sounds_file  None
store_wifi_txpower  None
boot_mode  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T10:13:27Z,L29,PROVISION-L2903,WIP0722105APAHM3M,"file_gatekeeper_test_chamber_cal
","file_gatekeeper_test_chamber_cal  FAIL
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:59:25Z,L29,PROVISION-L2905,WIP0803105APAKMWE,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T10:16:13Z,L29,PROVISION-L2904,WIP0801105APAKD41,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
2020-08-05,D,GA00781-ES,2020-08-05T09:26:47Z,L29,PROVISION-L2904,WIP0803105APAKN4K,"flash_fsi
push_fsi
check_fsi
check_sku
","flash_fsi  None
push_fsi  FAIL
check_fsi  None
check_sku  None
",1,0,0,0,0,
